STATEFP,COUNTYFP,GEOID,NAME,NAMELSAD,NAME_1,Geo_NAME,TractPopulation2010,MedINC14,MedINC10,MedINC00,MedINC90,MedHOMVal14,MedHOMVal10,MedHOMVal00,MedHOMVal90,MedRNTVal14,MedRENTVal10,MedRENTVal00,MedRENTVal90,OWNshprate14,OWNshprate10,OWNshprate00,OWNshprate90,shWHITET14,shWHITE10,shWHITE00,shWHITE90,shHISP14,shHISP10,shHISP00,shHISP90,shBLCK14,shBLCK10,shBLCK00,shBLCK90,shASIAN14,shASIAN10,shASIAN00,shASIAN90,POVrate14,POVrate10,POVrate00,POVrate90,shBACH14,shBACH10,shBACH00,shBACH90,shCBRENT14,shCBRENT10,shCBRENT00,shCBRENT90,chMedINC1014,chMedINC0010,chMedINC9000,chMedINC0014,chMedINC9014,chHOMval1014,chHOMval0010,chHOMval9000,chHOMval0014,chHOMval9014,chRENTval1014,chRENTval0010,chRENTval9000,chRENTval0014,chRENTval9014,chOWNrate1014,chOWNrate0010,chOWNrate9000,chOWNrate0014,chOWNrate9014,chBACH1014,chBACH0010,chBACH9000,chBACH0014,chBACH9014,chWHITE1014,chWHITE0010,chWHITE9000,chWHITE0014,chWHITE9014,chHISP1014,chHISP0010,chHISP9000,chHISP0014,chHISP9014,chBLCK1014,chBLCK0010,chBLCK9000,chBLCK0014,chBLCK9014,chASIAN1014,chASIAN0010,chASIAN9000,chASIAN0014,chASIAN9014,chPOVrate1014,chPOVrate0010,chPOVrate9000,chPOVrate9014,chCBRENT1014,chCBRENT0010,chCBRENT9000,chCBRENT0014,chCBRENT9014
25,25,25025050500,505,Census Tract 505,Boston,Census Tract 505- Suffolk County- Massachusetts,1857,47869,44457,47198,46968,313437,312064,162417,191114,1210,1213,989,1028,30,24,22,21,38,39,42,63,59,56,47,33,1,1,2,2,22,25,10,2,19.17,11.71,15.41,9.9,18.39,18.52,11.99,8.16,55,71,40,40,3412,-2741,230,671,901,1373,149647,-28697,151020,122323,-3,224,-39,221,182,6,1,2,8,9,-0.13,6.54,3.83,6.41,10.24,-1,-3,-21,-4,-25,3,9,13,13,26,0,-1,0,-1,-1,-3,16,8,13,20,7.47,-3.7,5.51,9.27,-16,31,0,15,15
25,25,25025101101,1011.01,Census Tract 1011.01,Boston,Census Tract 1011.01- Suffolk County- Massachusetts,3155,59277,58572,50979,52318,312725,409387,248232,281577,1475,1475,1139,1430,40,50,38,37,1,3,1,1,20,9,6,6,77,86,89,92,0,1,4,0,16.09,16.38,19.97,28.33,11.65,14.98,12.55,12.22,36,39,51,51,705,7593,-1339,8298,6959,-96662,161155,-33345,64493,31148,0,336,-291,336,45,-10,12,2,2,3,-3.34,2.43,0.33,-0.91,-0.58,-2,2,0,0,0,11,3,0,14,14,-10,-3,-3,-13,-16,-1,-3,4,-4,0,-0.28,-3.59,-8.37,-12.24,-4,-12,0,-15,-16
25,25,25025170300,1703,Census Tract 1703,Revere,Census Tract 1703- Suffolk County- Massachusetts,9040,58945,71056,58667.54,67739.77,333872,381689,252593.81,291924.59,1503,1500,1110.17,1147.21,55,59,68,69,73,68,91,96,12,20,3,2,4,6,3,1,0,9,4,1,5.61,4.48,8.29,8.52,25.73,17.01,11.58,14.17,42,49,39,53,-12111,12388.46,-9072.23,277.46,-8794.77,-47817,129095.19,-39330.78,81278.19,41947.41,3,389.83,-37.05,392.83,355.79,-4,-9,-1,-13,-14,8.72,5.43,-2.58,14.15,11.56,5,-23,-5,-18,-23,-8,17,1,9,10,-2,4,1,2,3,-9,5,3,-3,-1,1.14,-3.81,-0.23,-2.91,-7,10,-14,3,-11
25,25,25025180500,1805,Census Tract 1805,Winthrop Town,Census Tract 1805- Suffolk County- Massachusetts,3883,60645,76516,77730,66370,327975,415036,268173,282807,1445,1293,1110,1173,50,59,48,48,91,89,93,98,6,7,3,1,2,1,1,1,1,5,2,1,10.56,10.48,7.28,5.84,35.31,41.58,27.25,21.45,43,46,32,39,-15871,-1214,11360,-17085,-5725,-87061,146863,-14634,59802,45168,152,183,-63,335,272,-9,11,0,2,2,-6.26,14.33,5.8,8.07,13.87,2,-5,-4,-3,-7,0,4,2,3,5,0,0,0,1,1,-3,2,2,-1,1,0.09,3.2,1.43,4.72,-2,14,-7,11,4
25,25,25025120600,1206,Census Tract 1206,Boston,Census Tract 1206- Suffolk County- Massachusetts,2335,100599,89611,78449,66080,488709,419163,350688,371162,1765,1841,1342,1263,41,50,35,35,76,69,67,67,9,15,21,24,8,3,7,6,4,9,6,4,10.83,4.21,17.47,12.63,81.8,85,58.61,40.19,26,30,33,38,10988,11162,12369,22150,34519,69546,68475,-20474,138021,117547,-76,499,79,423,502,-9,15,0,6,6,-3.2,26.39,18.42,23.19,41.6,7,2,0,9,9,-6,-6,-3,-12,-15,5,-3,1,1,2,-5,2,2,-3,0,6.62,-13.26,4.84,-1.81,-4,-3,-5,-7,-12
25,25,25025091700,917,Census Tract 917,Boston,Census Tract 917- Suffolk County- Massachusetts,3069,47571,51454,50122,53332,339362,367352,266523,262607,1374,1440,1048,1258,34,36,32,32,5,8,7,17,24,27,14,20,50,40,50,50,15,24,29,13,26.13,23.77,16.69,23.63,13.52,11.72,10.16,15.34,68,71,44,50,-3883,1332,-3210,-2551,-5761,-27990,100829,3916,72839,76755,-66,392,-210,326,116,-2,4,0,2,3,1.8,1.56,-5.18,3.36,-1.81,-3,1,-10,-2,-13,-3,14,-6,10,4,10,-9,0,0,0,-9,-5,16,-14,2,2.36,7.08,-6.94,2.5,-3,27,-6,24,18
25,25,25025070200,702,Census Tract 702,Boston,Census Tract 702- Suffolk County- Massachusetts,5218,19532,19795,21852,22699,715323,512467,313694,404010,906,784,605,775,9,6,3,4,35,28,22,8,3,3,2,2,2,2,2,4,1,2,74,87,36.3,38.83,35.1,28.53,23.18,18.64,12.85,12.35,57,48,44,47,-263,-2057,-847,-2320,-3167,202856,198773,-90316,401629,311313,122,179,-170,301,131,2,3,-1,5,5,4.54,5.79,0.5,10.34,10.83,7,6,15,13,27,0,1,0,1,2,0,0,-1,0,-2,-1,-72,-14,-73,-86,-2.53,3.73,6.57,7.77,9,4,-2,13,11
25,25,25025030100,301,Census Tract 301,Boston,Census Tract 301- Suffolk County- Massachusetts,1954,68350,57597,74891,58755,396295,543098,327859,285442,1653,1473,1319,1079,26,16,22,19,94,95,97,97,1,0,1,2,0,5,1,0,0,0,2,1,17.43,19.71,7.83,9.57,74.37,63.5,62.86,35.75,47,46,30,36,10753,-17294,16136,-6541,9595,-146803,215239,42417,68436,110853,180,154,240,334,574,10,-6,3,4,8,10.87,0.65,27.11,11.51,38.62,0,-2,0,-2,-2,1,0,-1,0,-1,-5,4,1,-1,0,0,-2,1,-2,-1,-2.28,11.88,-1.74,7.86,1,16,-5,17,11
25,17,25017385100,3851,Census Tract 3851,Ashland,Census Tract 3851- Middlesex County- Massachusetts,6717,107607,99814,97914.1,88314.58,421203,509426,331488.66,322706,839,1097,1076.93,1164.97,78,78,77,72,87,87,92,96,2,1,2,1,3,3,2,1,1,1,4,2,2.22,3.01,1.81,2.37,59.1,56.39,45.89,30.29,18,42,32,32,7793,1899.9,9599.52,9692.9,19292.42,-88223,177937.34,8782.66,89714.34,98497,-258,20.07,-88.05,-237.93,-325.97,0,1,5,1,6,2.7,10.51,15.59,13.21,28.8,0,-5,-4,-5,-9,1,-1,1,0,1,0,1,0,1,1,0,-4,3,-4,-1,-0.79,1.2,-0.55,-0.15,-24,10,1,-15,-14
25,17,25017322100,3221,Census Tract 3221,Hudson,Census Tract 3221- Middlesex County- Massachusetts,4671,108008,103283,113517.76,108906.78,355527,408518,280348.41,306121,1695,1333,1285,1587.44,96,92,92,87,91,94,93,94,2,1,2,2,0,1,1,1,0,0,4,3,2.1,3.19,2.7,1.88,47.83,45.22,41.42,33.84,28,33,30,35,4725,-10234.76,4610.98,-5509.76,-898.78,-52991,128169.59,-25772.59,75178.59,49406,362,48,-302.43,410,107.56,5,0,5,5,10,2.61,3.81,7.58,6.41,13.99,-2,0,-1,-2,-3,0,0,0,0,0,-1,0,0,-1,-1,0,-4,1,-4,-2,-1.09,0.49,0.82,0.22,-5,3,-5,-2,-7
25,17,25017339400,3394,Census Tract 3394,Medford,Census Tract 3394- Middlesex County- Massachusetts,3326,63227,51555,69087,66043.04,428726,440344,327446,291835.34,1526,1233,1141,1126.87,45,45,41,41,79,72,86,93,10,8,3,2,3,14,4,3,1,0,7,3,17.95,12.05,9.56,10.77,54.36,45.14,35.05,22.21,45,62,41,43,11672,-17532,3043.96,-5860,-2816.04,-11618,112898,35610.66,101280,136890.66,293,92,14.13,385,399.13,0,4,0,4,5,9.22,10.09,12.84,19.31,32.15,6,-13,-7,-7,-14,2,4,2,6,8,-11,11,1,-1,1,1,-7,4,-6,-2,5.9,2.49,-1.21,7.18,-17,21,-2,4,3
25,23,25023507103,5071.03,Census Tract 5071.03,Duxbury,Census Tract 5071.03- Plymouth County- Massachusetts,4351,134318,151680,137403,116157,691940,865155,612673,469003,1163,2173,602,954,93,97,87,85,98,99,97,98,1,1,1,1,0,0,0,0,1,0,1,1,3.79,1.54,1.54,2.48,73.13,75.14,70.11,52.52,32,78,48,41,-17362,14277,21246,-3085,18161,-173215,252482,143670,79267,222937,-1010,1571,-352,561,209,-5,10,2,6,8,-2.01,5.02,17.59,3.01,20.61,0,2,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,0,2.25,0,-0.94,1.31,-46,30,7,-16,-9
25,23,25023510100,5101,Census Tract 5101,Brockton,Census Tract 5101- Plymouth County- Massachusetts,4776,72170,70321,77034.36,85365.43,203841,268290,164093.34,217299.81,1193,1319,986.72,935.65,90,85,91,92,76,64,78,87,4,10,4,3,16,17,12,9,2,7,6,1,2.69,8.23,4.45,3.03,18.76,14.51,13.81,10.25,44,75,43,48,1849,-6713.36,-8331.07,-4864.36,-13195.43,-64449,104196.66,-53206.47,39747.66,-13458.81,-126,332.28,51.07,206.28,257.35,5,-6,0,-2,-2,4.25,0.7,3.57,4.95,8.51,12,-14,-9,-1,-11,-5,5,1,0,1,-2,5,4,4,7,-5,2,4,-3,1,-5.54,3.78,1.42,-0.34,-31,32,-6,1,-5
25,23,25023510200,5102,Census Tract 5102,Brockton,Census Tract 5102- Plymouth County- Massachusetts,5964,61376,74841,65739.55,65314.52,229054,310978,173436.75,232578.28,1191,1053,909.98,1071.9,68,83,70,67,52,64,69,85,19,10,6,3,27,21,14,8,5,3,11,3,17.02,11.08,11.95,9.66,21.37,23.64,14.65,12.04,72,47,43,48,-13465,9101.45,425.04,-4363.55,-3938.52,-81924,137541.25,-59141.53,55617.25,-3524.28,138,143.02,-161.92,281.02,119.1,-15,14,3,-1,2,-2.27,8.99,2.61,6.72,9.34,-11,-5,-17,-16,-33,9,4,3,13,16,6,7,6,13,18,2,-9,8,-7,1,5.94,-0.87,2.29,7.36,25,3,-5,28,24
25,23,25023510501,5105.01,Census Tract 5105.01,Brockton,Census Tract 5105.01- Plymouth County- Massachusetts,3358,57028,53322,59616,69835,210754,259601,156778,224665,1103,1189,1007,1152,71,74,68,69,56,47,67,85,3,9,6,3,34,39,14,9,3,4,13,4,14.43,12.87,9.54,7.55,17.84,18.93,17.61,17.81,46,46,37,48,3706,-6294,-10219,-2588,-12807,-48847,102823,-67887,53976,-13911,-86,182,-145,96,-49,-3,6,0,3,2,-1.09,1.32,-0.2,0.23,0.03,9,-20,-18,-11,-28,-6,3,3,-3,0,-6,26,5,20,25,-2,-9,9,-11,-1,1.56,3.33,1.99,6.88,0,9,-11,9,-2
25,23,25023510502,5105.02,Census Tract 5105.02,Brockton,Census Tract 5105.02- Plymouth County- Massachusetts,5796,37183,39267,39499,42671,180457,241896,123085,233272,600,717,759,766,45,40,36,34,37,44,57,79,12,9,7,5,45,34,21,13,6,5,15,3,10.29,15.96,12.8,14.72,20.43,15.24,14.56,14.75,54,48,33,32,-2084,-232,-3172,-2316,-5488,-61439,118811,-110187,57372,-52815,-117,-42,-7,-159,-166,5,4,1,10,11,5.2,0.68,-0.19,5.88,5.69,-8,-13,-22,-20,-42,3,2,3,5,8,11,14,8,24,32,2,-10,12,-8,3,-5.67,3.16,-1.92,-4.43,6,16,1,21,22
25,23,25023510503,5105.03,Census Tract 5105.03,Brockton,Census Tract 5105.03- Plymouth County- Massachusetts,4296,45693,53236,59410.21,66877.09,265044,319233,198999.05,256107.5,1057,1042,1001,1080,34,42,34,38,45,59,60,83,8,6,6,4,41,29,20,10,1,4,14,3,19.52,11.76,15.24,10.36,18.34,23.7,20.06,13.61,62,52,39,33,-7543,-6174.21,-7466.88,-13717.21,-21184.09,-54189,120233.95,-57108.45,66044.95,8936.5,15,41,-79,56,-23,-8,8,-4,1,-3,-5.36,3.64,6.45,-1.73,4.73,-15,-1,-23,-16,-38,2,0,2,2,4,12,9,10,21,31,-3,-10,11,-13,-2,7.76,-3.49,4.89,9.16,10,13,6,23,29
25,23,25023510600,5106,Census Tract 5106,Brockton,Census Tract 5106- Plymouth County- Massachusetts,2857,81964,75864,83503.99,100509.49,263010,361703,209458.03,276134.22,2008,1340,1260.76,1255.9,90,88,91,89,66,70,86,96,4,7,2,1,20,22,5,1,0,0,7,2,6.29,14.44,5.23,2.36,32.2,33,26.83,26.28,8,25,16,40,6100,-7639.99,-17005.5,-1539.99,-18545.49,-98693,152244.97,-66676.19,53551.97,-13124.22,668,79.24,4.86,747.24,752.1,1,-2,2,-1,1,-0.8,6.18,0.55,5.37,5.92,-3,-16,-10,-20,-30,-3,5,1,2,3,-1,17,4,16,19,0,-7,5,-7,-2,-8.15,9.21,2.87,3.93,-17,9,-23,-8,-31
25,23,25023510700,5107,Census Tract 5107,Brockton,Census Tract 5107- Plymouth County- Massachusetts,5656,58958,66710,65818,68706,272872,336829,196110,244690,1165,1058,893,1154,66,69,64,65,51,55,67,86,12,13,5,3,31,28,14,7,11,11,14,4,19.72,8.63,6.92,7.36,25.44,24.61,20.99,22.41,57,55,26,35,-7752,892,-2888,-6860,-9748,-63957,140719,-48580,76762,28182,107,165,-261,272,11,-3,5,-2,2,1,0.82,3.62,-1.42,4.45,3.03,-4,-12,-19,-16,-35,-1,8,2,7,9,3,14,6,17,24,-1,-3,10,-4,7,11.09,1.71,-0.44,12.36,2,29,-9,31,22
25,23,25023510800,5108,Census Tract 5108,Brockton,Census Tract 5108- Plymouth County- Massachusetts,6339,31205,41998,42003,48533,248167,350407,193910,244865,1159,1126,935,1049,26,32,30,26,15,17,31,58,10,6,13,10,59,68,26,24,1,4,30,9,39.89,23.81,23.56,21.94,11.09,7.24,8.22,10.32,69,57,43,54,-10793,-5,-6530,-10798,-17328,-102240,156497,-50955,54257,3302,33,191,-114,224,110,-6,2,4,-4,0,3.85,-0.98,-2.1,2.87,0.77,-2,-14,-27,-16,-43,5,-7,3,-3,1,-9,42,2,33,35,-3,-26,22,-29,-7,16.09,0.25,1.62,17.96,12,14,-11,27,15
25,23,25023510900,5109,Census Tract 5109,Brockton,Census Tract 5109- Plymouth County- Massachusetts,2531,12490,17425,16597,17025.95,0,464349,207662,204993.31,452,551,399,673.04,3,6,4,4,21,29,38,47,17,24,19,20,51,35,23,26,2,7,20,7,65.1,47.24,42.4,33.33,8.02,5.22,6.43,5.11,57,73,51,53,-4935,828,-428.95,-4107,-4535.95,0,256687,2668.69,0,0,-99,152,-274.04,53,-221.04,-3,2,-1,-1,-2,2.81,-1.22,1.32,1.59,2.91,-9,-8,-9,-17,-26,-6,5,-1,-1,-2,16,12,-3,28,25,-5,-13,13,-18,-5,17.86,4.84,9.07,31.77,-16,22,-3,6,4
25,23,25023511000,5110,Census Tract 5110,Brockton,Census Tract 5110- Plymouth County- Massachusetts,3040,50588,67679,44806,48565,194996,290014,161454,209910,1017,1048,894,1029,47,56,47,45,34,27,41,63,9,25,13,11,50,34,24,18,6,10,22,8,25.72,13.74,27.36,29.01,22.1,19.16,10.42,6.94,40,41,46,36,-17091,22873,-3759,5782,2023,-95018,128560,-48456,33542,-14914,-31,154,-135,123,-12,-8,8,2,0,2,2.95,8.74,3.48,11.68,15.17,7,-15,-22,-7,-29,-16,12,2,-4,-2,16,11,6,26,32,-4,-12,14,-16,-2,11.98,-13.62,-1.65,-3.29,0,-5,10,-6,5
25,23,25023511100,5111,Census Tract 5111,Brockton,Census Tract 5111- Plymouth County- Massachusetts,5291,69100,78864,75287,84097,207094,272418,161041,214477,1171,1454,1049,1161,93,89,90,93,60,69,75,89,4,1,4,2,24,19,13,7,0,0,8,2,10.92,2.19,5.82,4.84,16.44,16.93,11.03,9.85,29,52,19,26,-9764,3577,-8810,-6187,-14997,-65324,111377,-53436,46053,-7383,-283,405,-112,122,10,4,-1,-2,3,1,-0.49,5.9,1.18,5.41,6.59,-9,-6,-13,-15,-28,3,-3,2,0,2,6,6,6,12,17,0,-8,6,-8,-2,8.74,-3.63,0.98,6.09,-23,33,-7,10,3
25,23,25023501202,5012.02,Census Tract 5012.02,Hingham,Census Tract 5012.02- Plymouth County- Massachusetts,7131,93050,108348,132621.94,135997.89,603897,663449,511179.13,451613.22,2034,1990,1045,1432,76,81,96,95,96,98,96,97,1,0,1,1,0,1,0,1,0,0,3,1,4.42,2.01,2.34,1.84,61.82,57.2,58.86,52.08,76,84,33,39,-15298,-24273.94,-3375.95,-39571.94,-42947.89,-59552,152269.88,59565.91,92717.88,152283.78,44,945,-387,989,602,-5,-15,1,-20,-19,4.62,-1.66,6.78,2.96,9.74,-1,1,-1,0,-1,1,0,0,0,0,-1,1,0,0,0,0,-2,1,-2,-1,2.41,-0.33,0.5,2.58,-8,51,-6,43,37
25,23,25023545200,5452,Census Tract 5452,Wareham,Census Tract 5452- Plymouth County- Massachusetts,5669,59375,59592,57602,51946.92,236882,282085,142751,213092.36,1262,931,883,1037.93,87,83,80,83,86,88,85,87,1,3,2,4,2,3,3,2,0,0,9,7,10.7,9.7,9.4,8.16,21.15,17.68,13.01,8.28,59,57,48,24,-217,1990,5655.08,1773,7428.08,-45203,139334,-70341.36,94131,23789.64,331,48,-154.93,379,224.07,3,3,-3,6,4,3.48,4.67,4.72,8.15,12.87,-2,3,-2,0,-1,-2,1,-2,-1,-3,-1,0,1,-1,0,0,-9,3,-9,-6,1,0.29,1.24,2.54,2,9,25,11,35
25,23,25023506102,5061.02,Census Tract 5061.02,Marshfield,Census Tract 5061.02- Plymouth County- Massachusetts,5899,82326,103949,103560.45,90378.59,451906,511164,380682.38,342156.97,1326,1228,1114.97,1236.73,70,76,73,69,89,94,95,96,2,2,1,1,0,0,1,1,0,1,3,1,4.63,2.98,4.7,3.59,47.5,47.49,39.13,36.59,72,65,40,36,-21623,388.55,13181.85,-21234.45,-8052.59,-59258,130481.63,38525.41,71223.63,109749.03,98,113.03,-121.76,211.03,89.27,-5,3,4,-3,1,0.02,8.36,2.54,8.38,10.91,-4,-2,-1,-6,-7,0,1,0,1,1,0,-1,0,-1,-1,-1,-2,2,-2,-1,1.65,-1.72,1.11,1.04,7,25,4,32,36
